transaction_amount,transaction_type,account_age_days,previous_failed_transactions,transaction_hour,location_risk_score,device_risk_score,is_international,average_daily_transaction_amount,fraud
2399.93,transfer,787,0,22,53.56,41.48,0,324.78,0
247.69,payment,340,0,11,7.96,32.47,0,228.74,0
93.0,payment,1181,1,14,50.36,56.58,0,110.7,0
546.34,transfer,462,0,6,37.72,27.92,0,145.14,0
618.12,payment,1436,0,18,77.18,29.02,0,286.94,0
97.83,withdrawal,558,0,19,24.89,27.82,0,94.27,0
2907.12,transfer,982,0,19,18.24,51.36,1,343.8,1
198.72,purchase,711,1,20,63.7,44.97,0,431.4,0
900.13,purchase,771,0,1,43.29,55.5,0,370.47,0
2182.64,payment,842,0,12,44.02,60.77,0,402.55,0
634.5,purchase,1098,2,12,13.09,17.44,1,96.2,0
550.56,purchase,1770,1,1,83.66,38.52,0,232.87,0
1472.5,transfer,762,1,19,18.28,33.07,0,162.87,0
452.1,payment,308,0,4,56.57,27.85,0,120.18,1
365.06,withdrawal,1596,0,10,31.78,55.77,0,211.05,0
2093.99,payment,1263,1,1,39.39,30.06,0,496.63,0
626.57,payment,548,1,18,44.15,21.7,0,556.58,0
843.17,payment,500,0,4,14.12,37.0,0,173.04,0
596.44,purchase,1121,2,12,63.75,91.59,1,271.32,1
690.35,withdrawal,1033,0,12,10.96,68.82,0,312.24,0
590.13,purchase,1969,4,2,73.53,19.66,0,233.64,0
253.74,purchase,1186,0,20,12.99,63.22,0,444.97,0
679.03,transfer,689,0,0,59.72,81.0,0,212.54,1
800.84,withdrawal,615,0,15,53.21,19.96,1,196.33,0
473.16,payment,967,0,4,43.81,48.16,0,177.44,0
527.23,payment,349,2,14,42.47,18.9,0,232.89,0
288.87,withdrawal,417,1,5,38.42,41.84,0,60.44,0
431.8,transfer,515,0,17,28.89,32.37,0,237.97,0
434.72,withdrawal,681,1,13,46.98,43.58,0,278.77,0
503.92,purchase,918,1,15,18.95,88.57,0,286.64,0
478.95,withdrawal,1222,0,23,30.22,31.07,0,158.13,0
360.11,withdrawal,1639,0,10,17.22,18.67,0,284.2,0
327.65,withdrawal,1497,1,18,10.11,54.93,0,281.57,0
417.87,payment,1391,0,19,13.43,36.69,1,284.35,0
656.83,payment,757,1,7,10.15,28.97,0,373.62,0
523.51,transfer,623,0,7,42.69,50.52,1,154.95,1
1209.91,payment,1110,0,16,40.03,32.95,1,234.92,0
2251.49,transfer,1143,0,22,19.15,44.91,0,106.91,0
660.09,purchase,542,0,0,39.59,15.42,0,358.46,0
593.44,payment,840,0,2,60.96,73.46,0,166.77,1
759.11,payment,599,1,4,51.82,44.2,0,398.88,0
918.47,payment,409,0,15,12.54,21.36,1,405.05,0
986.53,payment,1072,0,10,64.5,72.68,1,245.45,0
327.45,withdrawal,1379,0,12,1.22,24.91,0,239.63,0
100.18,withdrawal,1886,3,7,36.26,30.72,0,128.38,0
374.35,purchase,870,2,10,50.35,64.14,0,267.39,0
314.54,withdrawal,369,0,18,19.97,15.22,0,372.19,0
417.76,transfer,2039,0,10,32.37,15.53,0,300.1,0
1279.65,purchase,2122,1,9,14.0,62.95,0,468.58,0
308.4,payment,2994,0,1,34.59,25.91,0,222.47,0
278.59,payment,2422,0,9,61.08,23.4,0,222.33,0
338.95,payment,1043,0,18,45.84,17.6,0,172.21,0
1707.96,purchase,938,1,3,33.97,24.34,0,602.69,0
335.92,transfer,1313,0,8,13.4,12.08,0,127.78,0
1421.61,payment,450,2,6,25.96,62.43,0,360.43,1
2082.16,transfer,663,0,11,33.77,33.26,1,375.58,1
268.47,payment,876,0,19,21.8,46.1,0,368.55,0
539.96,withdrawal,1522,0,20,29.34,30.03,0,179.1,0
364.57,transfer,1553,2,9,1.09,34.51,1,139.09,0
212.29,transfer,899,0,13,28.82,60.45,0,245.38,0
247.44,payment,474,0,19,28.23,27.07,0,337.77,0
367.01,withdrawal,1368,1,20,52.64,60.32,0,198.02,0
714.25,transfer,457,0,14,20.99,34.65,0,229.87,0
912.93,payment,719,0,3,55.54,70.47,1,199.63,1
480.37,payment,1040,2,9,47.34,32.54,0,275.58,0
241.99,deposit,430,2,6,43.06,43.89,0,267.52,0
1896.57,purchase,642,2,16,35.98,27.5,0,505.52,0
1182.51,withdrawal,1463,1,5,43.81,51.87,0,341.04,0
1231.3,payment,1314,0,0,61.77,66.39,0,142.6,0
183.17,deposit,506,0,21,25.85,86.59,0,148.22,0
2290.56,purchase,1098,2,2,47.06,64.96,1,363.25,1
134.28,purchase,365,0,18,22.33,32.32,1,266.23,0
15000.0,transfer,1250,0,22,54.79,53.36,1,586.53,1
1085.84,payment,671,1,20,48.19,58.69,1,585.78,0
355.9,payment,848,1,11,14.41,48.66,0,171.74,0
288.8,purchase,982,0,13,34.28,31.68,0,302.14,0
499.68,transfer,522,0,17,42.71,78.32,1,149.12,0
2266.91,payment,646,0,5,73.27,23.43,0,360.55,0
1016.15,payment,1919,0,10,50.3,24.75,1,537.77,0
816.46,withdrawal,819,1,9,35.85,41.62,1,283.55,0
278.69,payment,1008,0,6,12.21,67.29,0,218.88,0
157.34,purchase,1015,1,13,34.27,30.06,0,315.9,0
708.6,purchase,1660,1,10,32.75,36.35,1,393.34,0
989.8,purchase,1351,2,0,38.73,57.66,1,394.51,0
840.28,transfer,153,0,2,67.05,29.83,0,220.0,0
2600.01,withdrawal,536,0,15,46.38,77.17,1,195.72,1
1033.51,withdrawal,1756,0,13,47.79,18.7,0,294.95,0
2608.85,withdrawal,2054,0,20,57.88,34.45,1,226.75,0
1846.13,payment,535,0,1,48.65,21.47,0,445.04,1
1865.89,transfer,795,2,7,34.39,93.44,1,225.51,0
1073.87,payment,889,2,9,40.91,82.29,0,274.39,0
511.28,transfer,809,3,16,6.3,47.39,0,312.41,0
411.38,payment,1253,0,10,33.06,20.69,0,130.09,0
282.88,payment,851,1,11,21.53,23.73,0,203.43,0
1566.98,payment,725,1,22,44.53,37.01,0,574.86,0
1415.93,withdrawal,1279,1,0,71.87,65.66,0,386.01,0
660.72,payment,313,1,21,35.13,20.02,0,224.13,0
2451.52,deposit,1044,0,6,5.08,46.94,1,361.2,0
1122.2,withdrawal,1186,0,0,95.67,34.38,0,441.79,0
1016.39,transfer,1705,1,12,32.31,60.24,0,240.19,0
1376.32,withdrawal,973,2,5,56.73,51.24,0,377.89,0
588.68,payment,380,1,17,56.0,60.38,0,354.43,0
299.51,deposit,1000,0,18,76.37,9.48,1,150.31,0
1537.91,transfer,364,0,9,37.62,38.6,1,240.79,1
723.53,purchase,1127,1,18,70.76,19.82,1,511.49,0
2187.64,payment,1569,0,4,49.08,29.73,1,567.48,0
892.92,transfer,911,1,8,4.83,58.92,0,387.41,0
407.91,transfer,851,0,1,52.23,39.93,0,200.25,0
110.2,deposit,1337,1,15,77.57,26.54,0,81.44,0
532.7,withdrawal,1108,2,17,3.99,36.22,0,187.73,0
405.43,transfer,1291,0,18,17.1,55.52,0,140.45,0
1075.46,payment,2397,0,8,69.12,38.37,0,528.38,0
177.96,transfer,748,1,20,66.26,55.48,0,105.59,0
2178.68,transfer,1162,0,15,14.7,40.87,1,152.34,0
1549.99,transfer,1770,0,13,54.28,60.1,0,292.25,0
1639.19,payment,1783,0,5,54.84,6.1,0,265.39,0
895.56,purchase,1213,1,20,27.19,24.23,0,500.2,0
570.77,purchase,835,1,18,38.49,32.59,1,344.76,0
192.58,payment,1283,1,21,29.81,63.05,0,248.81,0
1702.42,withdrawal,1296,0,8,34.45,57.52,0,448.67,0
228.55,payment,1396,0,13,20.24,28.11,0,221.2,0
884.01,withdrawal,553,0,1,52.8,46.85,0,518.37,0
73.8,payment,2028,2,14,54.67,46.11,0,175.82,0
147.7,withdrawal,1773,0,12,11.82,6.68,0,54.8,0
675.89,purchase,925,0,19,20.41,52.59,0,261.02,0
628.39,purchase,1693,1,17,9.95,21.21,1,88.21,0
1152.07,payment,895,0,23,29.31,3.44,0,396.29,0
810.86,purchase,1878,0,22,14.74,24.04,0,284.87,0
603.57,payment,997,1,4,22.15,64.47,0,518.99,0
1117.25,payment,612,2,23,14.75,62.96,0,236.81,1
1303.86,withdrawal,2247,0,0,68.82,45.73,1,129.13,0
759.55,transfer,1370,0,10,60.65,25.98,0,325.25,0
457.5,purchase,867,1,22,29.31,68.86,0,206.24,0
575.13,purchase,1951,0,14,47.18,72.63,0,371.24,0
682.03,payment,1290,0,23,6.06,43.61,0,177.59,0
465.15,deposit,815,1,13,19.96,73.43,0,477.6,0
202.04,payment,1962,0,16,50.87,48.69,0,274.3,0
784.53,transfer,1393,1,12,15.24,21.48,0,249.25,0
2420.13,payment,1121,0,22,34.15,62.38,0,463.42,0
648.95,deposit,967,0,2,29.97,50.2,0,398.9,0
585.47,payment,600,1,9,38.22,24.47,0,189.29,1
436.44,payment,244,0,16,16.93,15.24,0,393.79,0
2208.36,transfer,1330,0,11,15.11,34.19,1,358.14,0
173.6,deposit,537,0,23,35.38,23.31,0,255.67,0
370.04,purchase,600,0,13,43.45,56.61,0,379.76,0
1616.21,purchase,888,0,3,75.11,35.64,0,476.65,0
322.5,purchase,898,0,14,18.88,65.29,0,259.11,0
472.97,purchase,640,0,7,23.49,32.52,0,259.51,0
199.5,transfer,1329,0,11,37.78,75.22,0,253.12,0
1141.71,payment,393,0,1,83.9,38.68,0,185.69,0
313.8,purchase,1317,0,20,30.31,27.63,0,257.89,0
1601.33,withdrawal,839,1,9,37.47,32.89,1,244.99,1
500.04,transfer,624,1,19,34.72,32.94,0,238.51,0
416.98,payment,414,0,11,14.32,17.23,0,236.88,0
973.44,purchase,1044,0,22,22.05,28.75,1,152.14,0
970.24,payment,516,0,8,46.82,7.91,0,416.65,0
616.99,deposit,477,1,2,43.22,29.17,0,203.28,0
1822.81,payment,1761,0,11,48.1,3.76,1,488.6,0
582.75,payment,453,0,0,78.44,29.65,0,168.06,0
1303.93,purchase,389,0,19,35.54,26.51,0,538.1,0
724.17,payment,1268,2,22,24.37,77.47,0,226.16,0
876.65,payment,1084,0,5,32.6,63.36,0,395.91,0
2057.67,withdrawal,721,0,1,76.37,59.43,0,283.63,0
372.67,purchase,580,0,18,20.31,53.72,0,142.02,0
860.28,payment,661,0,16,20.83,32.74,1,145.72,0
762.3,payment,731,0,19,58.61,32.33,0,195.41,0
309.58,purchase,1201,0,13,31.4,13.79,0,220.28,0
397.48,deposit,1055,0,13,45.85,13.81,0,262.84,0
5859.94,transfer,795,0,6,41.45,41.81,1,311.06,1
766.31,payment,790,1,7,11.14,29.12,1,247.37,0
1042.75,payment,1295,0,15,26.37,32.57,0,303.64,0
1701.94,payment,623,1,22,15.06,50.98,0,325.88,0
307.34,payment,406,0,7,18.43,43.43,1,242.37,0
533.78,withdrawal,1673,1,8,18.98,31.42,0,355.54,0
214.75,payment,795,2,14,12.4,30.18,0,390.81,0
2866.84,transfer,2139,0,1,83.56,13.43,1,329.59,1
416.3,withdrawal,741,0,15,32.14,15.59,0,337.95,0
1027.3,withdrawal,942,1,3,69.57,38.26,0,291.63,0
515.79,payment,597,1,16,29.14,18.21,0,432.77,0
240.86,purchase,1064,1,21,56.93,25.47,0,265.59,0
122.6,purchase,800,1,21,5.93,23.54,0,197.06,0
918.86,purchase,847,0,3,15.75,20.13,0,269.16,0
366.3,payment,991,0,14,30.67,39.91,1,143.23,0
154.11,payment,749,0,10,34.11,8.02,0,134.85,0
962.99,deposit,1048,0,11,50.87,59.79,0,391.64,0
818.99,transfer,666,1,16,32.25,71.67,0,492.14,0
1054.26,payment,1022,1,23,31.05,42.28,0,229.41,0
435.71,transfer,366,2,13,30.52,34.04,0,393.3,0
197.8,withdrawal,453,1,13,32.42,18.12,0,108.42,0
133.96,deposit,592,1,15,8.09,23.66,0,99.09,0
455.43,payment,502,0,12,47.24,19.24,0,438.17,0
775.1,deposit,522,1,8,56.3,75.19,0,330.06,0
905.2,payment,1167,2,19,19.22,24.66,1,266.07,0
1309.75,withdrawal,810,2,15,36.92,67.95,0,527.88,0
775.32,withdrawal,749,0,13,17.81,30.12,0,249.37,0
2513.7,payment,1052,0,0,37.02,34.75,1,162.14,0
384.82,payment,1090,1,6,41.71,23.51,1,125.75,0
292.15,transfer,708,2,6,46.55,52.54,0,269.06,1
1018.71,deposit,1478,1,15,65.83,36.33,0,291.37,0
851.04,withdrawal,833,1,2,45.42,20.51,0,242.49,0
114.36,deposit,1218,3,9,23.38,33.12,0,397.19,0
1509.6,purchase,665,0,10,31.4,19.65,0,468.47,0
694.49,transfer,1033,4,17,32.67,24.91,0,228.27,1
408.34,purchase,1271,0,3,32.3,65.16,0,108.31,0
435.85,payment,1204,1,14,31.11,42.68,0,304.43,0
926.15,payment,1153,1,13,7.17,30.21,0,436.61,0
984.01,purchase,649,1,17,12.28,31.58,0,228.73,0
1219.73,purchase,490,0,4,39.45,73.01,1,337.93,1
305.1,payment,461,1,14,19.05,33.03,1,156.49,0
613.05,transfer,732,1,9,62.31,12.54,0,301.15,0
290.63,withdrawal,707,1,6,36.58,32.65,0,340.67,0
884.46,purchase,1098,3,1,50.92,66.17,0,304.92,1
2047.01,withdrawal,925,1,9,24.89,31.9,0,589.61,0
2952.56,transfer,468,1,10,34.51,44.32,1,489.48,1
5008.1,transfer,1374,0,1,57.23,36.43,1,365.0,1
1700.42,transfer,1007,0,19,41.53,36.99,0,418.46,0
437.44,withdrawal,628,1,16,0.93,49.15,0,300.22,0
202.91,purchase,681,1,7,12.44,73.49,0,260.81,0
742.32,transfer,1667,1,1,58.8,39.85,0,217.67,1
258.39,payment,502,0,16,57.79,79.17,0,154.88,0
2650.63,payment,1708,1,0,28.65,61.59,0,499.58,0
1300.85,purchase,800,1,10,53.56,25.84,0,600.01,0
306.12,purchase,826,1,4,26.34,72.07,0,271.96,0
287.23,payment,1055,0,5,35.28,37.69,0,274.07,0
1477.8,payment,401,0,18,4.19,44.74,1,346.95,0
290.78,withdrawal,1005,1,7,68.31,64.65,0,249.89,0
2080.03,payment,1260,0,5,34.3,58.89,1,164.36,0
44.95,purchase,722,0,7,12.49,39.74,0,141.15,0
5196.07,payment,890,0,3,24.34,63.89,0,590.45,1
172.36,payment,2161,0,17,15.67,49.32,0,116.15,0
714.32,deposit,1323,1,11,19.71,82.78,0,310.07,0
541.12,payment,570,0,4,66.97,25.61,1,123.72,0
1341.51,payment,701,1,7,30.78,44.01,1,255.48,0
1448.18,payment,789,1,23,21.63,25.78,0,227.74,0
418.73,payment,1361,1,13,45.02,44.65,1,133.64,0
251.91,payment,569,0,16,35.17,61.88,0,352.31,0
101.49,payment,1205,0,20,47.93,56.48,0,158.89,0
115.86,payment,1209,0,9,65.47,23.43,0,125.02,0
682.5,payment,916,1,8,12.52,50.4,1,369.5,0
2045.62,withdrawal,1382,0,23,9.54,28.96,0,228.2,0
235.35,withdrawal,597,1,13,19.32,27.16,0,187.08,0
1591.81,transfer,1510,1,5,28.26,15.31,0,379.56,0
113.45,payment,357,2,20,46.33,62.8,0,155.05,0
199.09,transfer,567,0,18,36.65,19.37,0,109.81,0
713.06,purchase,361,0,9,35.81,63.25,0,454.59,0
698.89,purchase,614,0,6,9.85,36.96,0,553.22,0
147.76,payment,1219,1,15,8.14,8.16,0,252.42,0
109.14,payment,1076,0,13,39.48,28.06,0,52.08,0
1048.91,payment,1001,0,5,40.29,52.18,0,250.89,0
757.15,payment,609,1,1,21.25,53.71,0,389.19,0
219.28,withdrawal,883,0,19,29.98,7.45,0,434.34,0
562.16,transfer,1517,2,20,15.41,76.05,0,163.5,0
958.49,payment,622,0,21,5.33,66.03,1,233.32,1
1328.31,transfer,636,0,8,18.05,29.1,0,299.3,0
525.01,transfer,650,0,16,26.89,70.77,0,379.24,0
1481.46,payment,976,0,14,30.91,57.14,0,361.48,0
844.15,purchase,1169,0,6,40.96,22.71,1,335.99,0
10967.53,payment,1293,0,22,15.72,25.79,1,433.84,1
215.54,deposit,788,0,8,42.85,63.4,0,260.64,0
2458.97,payment,753,0,0,44.41,47.39,0,501.62,0
286.17,purchase,686,1,3,62.12,47.62,0,206.46,0
895.43,purchase,1135,2,23,51.52,25.02,0,364.0,0
996.72,deposit,409,0,1,15.04,20.65,1,220.29,0
470.03,purchase,838,2,12,44.05,45.52,0,254.1,0
295.11,purchase,840,0,11,45.43,11.21,0,272.31,0
362.63,withdrawal,1217,2,18,29.09,48.25,0,214.6,0
1153.5,purchase,470,0,19,42.62,31.31,0,442.27,0
255.92,payment,1260,1,11,59.55,49.0,0,225.22,0
451.45,transfer,1104,0,15,30.7,24.72,0,266.04,0
895.22,transfer,1934,1,19,23.72,21.88,0,345.18,0
1032.51,purchase,1765,0,19,30.39,42.17,0,704.58,0
676.94,transfer,1467,1,21,40.97,8.21,0,350.77,0
644.19,transfer,306,1,16,30.98,37.63,0,276.61,0
76.14,withdrawal,494,0,9,29.58,4.53,0,100.53,0
1002.3,payment,1385,0,13,19.69,31.24,0,251.04,0
221.51,payment,828,0,17,28.25,51.01,0,197.27,0
273.02,transfer,1763,0,7,9.05,21.09,0,231.91,0
1311.0,transfer,927,1,23,26.64,21.33,1,218.19,0
251.72,payment,1197,0,10,32.87,24.14,0,343.65,0
459.91,transfer,1158,0,18,43.23,31.01,0,248.63,0
839.43,transfer,915,0,12,43.94,49.11,0,175.81,0
1029.95,payment,1396,0,22,30.63,19.22,0,396.42,0
209.84,transfer,1241,1,16,2.13,53.36,0,147.33,0
650.79,withdrawal,517,1,17,20.19,24.7,1,270.94,0
790.98,payment,2230,3,18,53.82,39.56,1,251.86,0
217.16,deposit,494,0,7,11.6,71.74,0,314.1,0
368.47,purchase,635,0,8,43.66,35.78,0,435.86,0
1944.72,transfer,1188,1,19,35.07,20.56,0,753.8,0
558.68,payment,1088,1,11,5.74,26.34,0,276.53,0
261.56,transfer,1288,0,15,4.2,33.38,0,195.79,0
284.47,purchase,815,0,12,56.7,5.64,1,187.14,0
604.5,withdrawal,1125,1,0,23.15,72.81,0,186.74,0
561.67,purchase,657,2,11,17.41,34.81,0,308.99,0
375.6,transfer,927,0,4,25.13,36.54,0,89.01,0
336.73,withdrawal,1666,0,2,43.48,7.38,0,143.06,0
552.76,payment,493,0,6,27.33,43.41,0,309.12,0
428.95,purchase,1435,1,7,33.87,72.69,0,405.18,0
352.25,payment,843,1,17,32.37,63.39,0,406.25,0
1957.02,withdrawal,588,0,6,65.96,63.76,1,282.39,1
929.6,purchase,608,0,19,22.33,25.6,0,382.14,0
808.79,payment,832,0,5,41.3,11.95,0,439.24,0
1361.66,withdrawal,1465,0,19,57.77,37.63,1,223.68,0
328.11,payment,1121,0,12,44.39,65.44,0,419.42,0
781.79,purchase,472,0,1,33.82,57.02,0,120.05,0
644.28,payment,1401,0,2,28.65,26.78,0,141.13,0
742.15,deposit,1296,1,1,58.84,31.21,1,229.82,1
77.05,payment,359,0,9,52.51,14.18,0,112.46,0
701.54,deposit,574,1,7,66.48,10.03,0,346.15,0
710.0,purchase,1534,0,1,15.53,23.43,0,208.53,0
555.8,withdrawal,918,1,16,9.85,33.49,0,253.07,0
687.08,purchase,1397,1,20,35.36,37.84,0,257.33,0
451.32,purchase,259,0,20,42.76,36.62,0,227.18,0
663.5,deposit,203,0,3,88.77,59.78,1,186.19,1
1064.54,payment,1226,0,20,58.81,57.4,0,338.77,0
243.36,withdrawal,688,0,10,32.74,34.52,0,206.5,0
652.77,payment,1258,0,4,40.57,11.22,0,255.78,0
1122.27,withdrawal,1406,0,3,26.08,37.05,0,315.5,0
317.48,payment,694,0,18,61.57,19.25,0,437.62,0
553.75,withdrawal,878,1,6,33.36,67.38,0,422.3,0
205.39,withdrawal,787,2,15,24.24,34.37,0,215.02,0
220.25,transfer,689,1,13,31.82,25.45,0,181.67,0
1959.77,transfer,1016,2,22,20.05,68.91,0,477.07,1
407.45,purchase,1340,1,17,16.8,30.7,0,205.98,0
1355.92,purchase,638,1,18,42.94,40.74,0,332.72,0
485.95,transfer,636,0,11,39.3,36.33,1,109.43,0
629.77,withdrawal,697,0,12,25.67,61.37,1,87.76,0
298.1,deposit,1189,1,3,49.02,25.73,0,276.41,0
877.61,payment,1401,0,18,14.31,41.45,0,240.19,0
425.41,payment,781,0,18,26.78,25.12,0,370.66,0
881.12,payment,315,1,7,26.06,29.96,0,187.21,0
701.49,withdrawal,538,1,3,36.46,40.27,0,304.94,0
1369.51,transfer,758,1,18,16.23,33.43,0,361.89,0
127.37,purchase,597,0,18,32.99,17.72,0,190.74,0
236.79,withdrawal,470,2,18,36.33,49.48,0,229.7,0
2526.05,transfer,938,0,0,48.24,34.96,0,154.56,0
726.51,purchase,2485,0,20,50.32,53.02,1,376.58,0
555.56,purchase,557,4,8,14.78,63.26,0,340.71,0
638.85,payment,1021,0,5,58.46,28.12,0,352.04,0
566.02,transfer,1163,0,12,42.07,35.43,0,239.75,0
1344.84,payment,1206,0,20,15.07,23.91,0,338.12,0
103.17,payment,890,0,19,49.2,26.28,0,59.49,0
782.26,payment,482,0,4,72.99,30.99,0,249.48,0
2579.63,deposit,1336,0,23,21.85,78.68,1,513.2,0
926.15,transfer,388,1,18,43.77,58.93,1,266.48,0
1658.92,transfer,847,2,22,48.29,24.57,0,411.48,0
975.0,purchase,807,0,22,48.69,39.93,0,240.36,0
1500.43,withdrawal,503,0,12,59.3,52.19,0,464.86,0
341.94,deposit,697,2,0,62.67,22.68,0,181.45,0
1836.56,purchase,1187,2,1,52.83,65.0,0,322.11,0
228.58,transfer,847,1,15,70.01,82.21,0,198.26,1
2121.01,transfer,425,0,2,74.72,36.8,0,299.08,1
151.32,deposit,1264,1,15,60.56,13.35,0,206.44,0
766.37,purchase,1908,2,2,53.69,40.81,0,266.0,0
388.82,deposit,457,1,19,69.52,63.14,0,220.32,0
960.28,payment,880,0,6,10.07,21.72,0,356.19,0
860.17,purchase,896,0,2,34.03,11.55,0,328.1,0
423.97,withdrawal,451,2,8,24.29,41.07,0,195.02,0
729.69,payment,1558,0,21,11.23,51.31,1,192.45,0
113.92,withdrawal,905,2,13,23.11,33.43,0,174.12,0
567.97,withdrawal,1357,0,23,40.87,20.87,0,158.2,0
3235.89,payment,1050,0,6,1.92,61.75,1,366.85,0
693.15,transfer,1532,0,16,26.87,64.76,0,169.51,0
652.88,purchase,1043,0,4,86.16,52.64,0,310.28,1
232.36,payment,734,1,10,25.82,28.44,0,211.69,0
697.04,transfer,1146,0,9,37.65,42.96,0,406.21,0
4998.54,transfer,605,1,15,72.66,26.16,1,568.46,1
77.23,payment,1197,1,16,36.48,35.27,0,50.7,0
229.29,purchase,556,0,1,29.91,37.52,0,180.37,0
448.78,purchase,866,0,16,66.28,20.78,0,210.1,0
461.29,payment,787,0,18,36.0,20.88,0,243.52,0
242.31,deposit,1009,1,9,11.49,39.26,0,236.75,0
429.69,purchase,1645,0,1,45.07,50.23,0,140.15,0
527.02,payment,686,0,10,8.45,62.0,0,573.7,0
673.68,purchase,1318,1,7,5.32,30.27,0,240.69,0
217.26,payment,1555,2,19,39.61,34.29,0,327.45,0
724.44,deposit,1300,0,3,22.81,37.43,0,331.92,0
271.95,withdrawal,1006,1,7,64.22,58.62,0,124.84,0
574.53,withdrawal,982,2,17,34.1,31.8,1,226.1,0
2318.09,payment,665,0,22,22.77,43.02,1,366.84,1
860.2,purchase,392,0,14,57.54,45.81,1,478.11,0
387.38,payment,920,1,0,23.03,47.38,0,228.29,0
104.78,payment,1616,1,16,26.89,13.72,0,136.36,0
654.34,payment,1719,0,0,60.55,27.07,0,201.91,0
1921.49,purchase,435,0,1,62.91,55.56,0,223.8,0
476.83,payment,1695,1,16,63.01,40.48,0,219.94,0
136.33,purchase,1170,3,8,58.22,50.74,0,174.21,0
411.86,withdrawal,1110,0,0,29.68,52.42,0,129.23,0
218.89,payment,1611,0,9,20.96,46.63,0,153.84,0
205.93,payment,1402,0,9,23.81,47.49,0,202.72,0
819.76,payment,551,1,14,94.12,38.52,1,364.14,0
3897.43,withdrawal,628,1,22,20.61,36.12,0,425.69,1
274.44,purchase,367,0,2,20.6,43.81,0,279.19,0
315.85,payment,1087,1,15,59.77,39.49,0,155.96,0
124.07,purchase,584,0,15,46.5,72.23,0,208.11,0
306.6,payment,721,1,23,15.03,48.72,0,89.94,0
415.5,purchase,1523,1,9,6.53,63.52,0,482.21,0
642.08,deposit,1154,0,3,40.33,20.4,0,193.23,0
2295.71,purchase,1168,0,21,34.92,24.24,1,315.27,0
2209.51,withdrawal,2209,1,1,88.13,35.65,0,412.45,0
1495.12,purchase,164,0,10,30.66,27.04,0,541.53,1
798.64,payment,601,0,15,17.41,47.0,0,381.94,0
994.38,payment,785,1,2,48.6,53.78,0,219.31,0
302.38,payment,620,1,7,26.99,73.6,0,334.16,0
5619.46,transfer,1352,0,2,64.58,29.96,0,532.55,1
638.76,purchase,829,0,20,43.71,27.66,1,192.37,0
125.82,withdrawal,522,0,6,27.53,34.43,0,125.99,0
124.48,purchase,1044,0,14,19.52,7.71,0,174.87,0
807.17,payment,1125,0,5,54.21,40.81,0,324.24,0
188.1,purchase,544,1,16,13.44,52.75,0,221.91,0
352.25,payment,849,0,19,15.17,61.96,0,254.83,0
924.73,payment,1137,0,0,19.43,9.64,0,348.56,0
490.51,purchase,1562,0,17,45.92,4.83,1,173.02,0
299.0,deposit,652,0,15,47.36,15.21,0,249.14,0
1220.35,withdrawal,1195,0,1,54.46,31.52,1,206.43,0
1453.47,payment,700,0,6,39.95,51.92,0,522.93,0
1074.6,withdrawal,955,0,20,21.19,38.83,0,376.64,0
1051.29,payment,568,0,10,28.73,48.04,0,222.61,0
